git.username,experience,domain,trainings,projects,learning.goals,notes
sarfarazit08,,,,,,
pramodhankare,15,Engineering Product Devlopment & PLM,•	Machine Learning by Stanford University (Coursera.org) •	Neural Networks and Deep Learning (Coursera.org)•	Improving Deep Neural Networks: Hyper-parameter tuning-Regularization and Optimization (Coursera.org) •	Structuring Machine Learning Projects (Coursera.org) •	Convolutional Neural Networks (coursera.org) •	Machine Learning A-Z™: Hands-On Python & R In Data Science (Udemy) •	Tableau 10 A-Z: Hands-On Tableau Training For Data Science! (Udemy) •	Power BI A-Z: Hands-On Power BI Training For Data Science! (Udemy) •	Power BI - The Ultimate Orientation (Udemy),,Collaborate on projects and continuous learning,
abuilds,,,,,,
geetaladda,,,,,,
kakroo,,,,,,
lodhi83491,,,,,,
mardikaryd,,,,,,
milapp,,,,,,
Neil-26,,,,,,
PooGit007,,,,,,
pravinbmhaske,15,Banking & Cards,Statistics; Data Analysis Using R (UDacity); Data Anaytics (NPTEL); Python (NPTEL),,,
prerak1010,,,,,,
samirhrmujawar,,,,,,
sumedhshirodkar34,,,,,,
DheerajSingh02,,,,,,
